title_id,title,tags,release_label_ja,release_label_en,status_label_ja,status_label_en,steam_url,x_url,meta_platform,meta_status_ja,meta_status_en,meta_links
NyctoType,NyctoType,Typing|Dark,2026年8月 gamescom出展|2026年9月 TGS出展,Aug 2026: gamescom exhibition|Sep 2026: TGS exhibition,開発中,In development,https://store.steampowered.com/app/3968600/NyctoType/,https://x.com/BogosorGames,Steam,開発中,In development,Steam / X
Reversi2048,REVERSI 2048,Puzzle|2048,2026年10月リリース予定,Oct 2026: planned release,開発中,In development,https://store.steampowered.com/app/4619930/Reversi2048/,https://x.com/BogosorGames,Steam / Android / iOS,開発中,In development,Steam / X
SkillHockey,Skill Hockey,Skill|Hockey,リリース予定: 未定,Release date: TBA,開発中,In development,https://store.steampowered.com/app/3074910/Skill_Hockey/,https://x.com/BogosorGames,Steam,開発中,In development,Steam / X
HAPPYRUNNER,HAPPY RUNNER,Runner,発売中,Available now,発売中,Available now,https://store.steampowered.com/app/2988640/HAPPY_RUNNER/,https://x.com/BogosorGames,Steam,発売中,Available now,Steam / X
SakWinik,Sak Winik: The Appointed One,会話|AI,リリース予定: 未定,Release date: TBA,開発中,In development,https://store.steampowered.com/app/4733690/Sak_Winik__The_Appointed_One/,https://x.com/BogosorGames,Steam,開発中,In development,Steam / X
